name,genre,prefecture,city,area,address,taste,scenes,features,url
ザ ロビーラウンジ,カフェ・スイーツ,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区梅田2-5-25 ザ・リッツ・カールトン大阪 1F,0,,食べログ百名店,https://tabelog.com/osaka/A2701/A270101/27000698/
グリグリ　GULIGILI,カフェ・スイーツ,大阪府,池田市,池田市,大阪府池田市鉢塚２-１０-１１,0,,おしゃれ、別世界,https://retty.me/area/PRE27/ARE85/SUB60902/100001225177/
スパイス食堂 ニッキ,カレー,大阪府,大阪市,堀江・南船場,大阪府大阪市西区立売堀1-8-6 星和シティビル本町西 101,0,,,https://tabelog.com/osaka/A2701/A270106/27093085/
鶏と魚介らぁ麺komugi,ラーメン,大阪府,大阪市,京橋・鶴橋,大阪府大阪市城東区今福西3-8-26,5,,基本どれもおいしい,https://tabelog.com/osaka/A2701/A270305/27080892/
長崎ちゃんぽん浜浪,ラーメン,大阪府,堺市,堺区,堺市堺区出島浜通３－１,4,,安くて美味い,https://tabelog.com/osaka/A2705/A270501/27011726/
九龍,ラーメン,和歌山県,和歌山市,和歌山市,和歌山市田中町５－３－１８,4,,老舗　安くて美味い,https://tabelog.com/wakayama/A3001/A300101/30000968/
天遊,ラーメン,兵庫県,尼崎市,尼崎市,兵庫県尼崎市東難波町5-8-19,0,,美味い,https://tabelog.com/hyogo/A2803/A280304/28003441/
しま彰,ラーメン,和歌山県,紀の川市,紀の川市,和歌山県紀の川市貴志川町長原102 ジョイフルサンマリノ,0,,美味い,https://tabelog.com/wakayama/A3001/A300102/30005976/
どんたく,ラーメン,京都府,宇治市,宇治市,京都府宇治市宇文字15,0,,美味い　安い,https://tabelog.com/kyoto/A2607/A260701/26010903/
正善,ラーメン,和歌山県,和歌山市,和歌山市,和歌山県和歌山市直川591-1,0,,美味い,https://tabelog.com/wakayama/A3001/A300101/30009037/
夜鳴きや,ラーメン,京都府,京都市,山科区,京都府京都市山科区大塚南溝町36,0,,美味い,https://tabelog.com/kyoto/A2601/A260603/26001039/
特製ラーメン 大中 本店,ラーメン,京都府,京都市,伏見区,京都府京都市伏見区観音寺町高架下217,0,,美味い,https://tabelog.com/kyoto/A2601/A260601/26000035/
小洞天,ラーメン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区千日前1-6-10 千寿ビル　１Ｆ,0,,美味い　あっさり　〆,https://tabelog.com/osaka/A2701/A270202/27001197/
ブルガリ イル・カフェ 阪急うめだ本店,カフェ・スイーツ,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区角田町8-7 阪急うめだ本店 5F,0,,食べログ百名店,http://tabelog.com/osaka/A2701/A270101/27068631/
SPICE STAND TONGARI,カレー,大阪府,大阪市,堀江・南船場,大阪府大阪市西区新町1-14-2,5,,,https://tabelog.com/osaka/A2701/A270201/27146697/
らーめん門扇 伏水酒蔵店,ラーメン,京都府,京都市,伏見区,京都市伏見区平野町８２−２ 伏水酒蔵小路内,0,,美味い,https://tabelog.com/kyoto/A2601/A260601/26026963/
ほそかわ 城陽店,ラーメン,京都府,城陽市,城陽市,京都府城陽市寺田高田44-7,0,,美味い,https://tabelog.com/kyoto/A2607/A260704/26005746/
豚骨ラー麺 ごん太,ラーメン,大阪府,羽曳野市,羽曳野市,大阪府羽曳野市西浦1-2-17,0,,美味い,https://tabelog.com/osaka/A2708/A270801/27003719/
中華そば ふじい 芦原橋本店,ラーメン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市浪速区塩草3-9-19,0,,美味い,https://tabelog.com/osaka/A2701/A270206/27058258/
GARB　weeks,イタリアン・フレンチ,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区中之島1-1-29 中之島公園内,3,,おしゃれ,https://tabelog.com/osaka/A2701/A270102/27050613/
CUORERUDINO,イタリアン・フレンチ,大阪府,大阪市,堀江・南船場,大阪府大阪市西区南堀江1-14-26,0,,窯焼きのピザ,https://cuorerudino.com/
万宝家,焼肉・ホルモン,大阪府,大阪市,京橋・鶴橋,大阪府大阪市生野区新今里3丁目11-20,0,,美味い,https://tabelog.com/osaka/A2701/A270306/27014750/
台湾料理 味仙 大阪駅前第2ビル店,中華料理,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市北区梅田１丁目２−２ 大阪駅前第2ビル B1,0,,美味い　辛い,https://yabamisen.jp
ホルモン 成田屋,焼肉・ホルモン,和歌山県,和歌山市,和歌山市,和歌山県和歌山市中之島2012,0,,美味い、愛想は良くないクセ強め,https://tabelog.com/wakayama/A3001/A300101/30000660/
肉匠　紋次郎　北堀江店,焼肉・ホルモン,大阪府,大阪市,堀江・南船場,大阪府大阪市西区北堀江３丁目４−１５,4,,4人前400g1980円、肉の寿司,https://www.hotpepper.jp/strJ000507790/
ジェラッテリア&カフェ　ricarica,カフェ・スイーツ,大阪府,堺市,堺区,大阪府堺市堺区向陵東町1-2-20,4,,,http://www.ricarica.jp/
焼肉　肉匠　紋次郎　東三国店,焼肉・ホルモン,大阪府,大阪市,新大阪・十三,大阪府大阪市淀川区東三国４-14-22,0,,,https://www.hotpepper.jp/strJ000661309/
肉匠　紋次郎　森之宮店,焼肉・ホルモン,大阪府,大阪市,京橋・鶴橋,大阪府大阪市東成区中道２丁目２１-１９,0,,,https://www.monjirou.org/index3.html
肉匠　紋次郎　大正店,焼肉・ホルモン,大阪府,大阪市,ベイエリア,大阪府大阪市大正区泉尾２丁目９-１０,0,,,https://www.monjirou.org/index1.html
グルメリア但馬 市島店,焼肉・ホルモン,兵庫県,丹波市,丹波市,兵庫県丹波市市島町上田46,0,,肉、ちょい高いけど美味しいらしい,https://tabelog.com/hyogo/A2807/A280701/28003171/
五光,焼肉・ホルモン,大阪府,大東市,大東市,大阪府大東市三住町1-35,0,,はらみ、塩タン、角モモステーキ、卵かけご飯,https://tabelog.com/osaka/A2707/A270704/27034192/
松濤園,焼肉・ホルモン,大阪府,大阪市,大阪市南部,大阪府大阪市平野区加美北3丁目16-20,5,,韓国風、おいしい,https://g.co/kgs/dB2TUfB
江畑,焼肉・ホルモン,京都府,京都市,上京区,京都府京都市上京区六軒町通下ル長者町東側四番町148-1,0,,美味い,https://tabelog.com/kyoto/A2601/A260501/26001035/
焼肉ダイニング甲 京都押小路本店,焼肉・ホルモン,京都府,京都市,中京区,京都府京都市中京区等持寺町34-1 ペペ御所南 1F,0,,美味い,https://tabelog.com/kyoto/A2601/A260203/26021205/
蔓牛,焼肉・ホルモン,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区瓦屋町3-5-14,0,,美味い　米も美味い　ちょい高め,https://tabelog.com/osaka/A2701/A270202/27010644/
天一,焼肉・ホルモン,大阪府,大阪市,ベイエリア,大阪府大阪市西淀川区柏里3-1-41,0,,美味い,https://tabelog.com/osaka/A2701/A270302/27030414/
レ・ボ・プロヴァンス,カフェ・スイーツ,兵庫県,西脇市,西脇市,兵庫県西脇市上野109-1,0,,かき氷やばいらしい,https://le-bo-pro.com/
焼肉ホルモンたっとん亭 平野店,焼肉・ホルモン,大阪府,大阪市,大阪市南部,大阪府大阪市平野区喜連西６丁目２−８０,0,,美味い,nikuyamanshow.com
若葉屋 福島店,焼肉・ホルモン,大阪府,大阪市,梅田・北新地・中之島,大阪府大阪市福島区福島7-1-10,0,,美味しそう,https://tabelog.com/osaka/A2701/A270108/27005291/
元祖 札幌や,中華料理,大阪府,大阪市,ベイエリア,大阪府大阪市港区市岡1-4-23,4,,餃子めちゃ美味い、ラーメンいまいち,https://tabelog.com/osaka/A2704/A270401/27000244/
無限麻辣湯,中華料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市浪速区日本橋西1-1-14 第二牧ビル 1F,4,,四川的な辛さ,https://tabelog.com/osaka/A2701/A270202/27093144/
上海,中華料理,大阪府,大阪市,ベイエリア,大阪府大阪市大正区千島１-１８-１２,5,,,http://www.nau-now.com/shanghai/
新大宮 中華のサカイ 本店,中華料理,京都府,京都市,北区,京都府京都市北区紫野上門前町新大宮商店街北大路上ル92,0,,美味い,https://tabelog.com/kyoto/A2601/A260503/26001225/
三国亭,中華料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区島之内２丁目１７−６,0,,美味い,https://tabelog.com/osaka/A2701/A270202/27001443/
一芳亭 本店,中華料理,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市浪速区難波中2-6-22,0,,しゅうまい、唐揚げ美味い,http://www.ippoutei.com
泉門天,中華料理,京都府,京都市,東山区,京都府京都市東山区花見小路新橋下ル清本町３８０−３ 竹会館 1F,0,,美味い,https://tabelog.com/kyoto/A2601/A260601/26000035/
キングスポート,洋食・西洋料理,大阪府,東大阪市,東大阪市,大阪府東大阪市新家2-1-41,3,,量がめちゃめちゃ多い、コスパ良い,https://tabelog.com/osaka/A2707/A270703/27037869/
観音山フルーツガーデン,カフェ・スイーツ,和歌山県,紀の川市,紀の川市,和歌山県紀の川市粉河3186-126,0,,,https://www.kannonyama.com/
やろく レストラン本店,洋食・西洋料理,大阪府,大阪市,大阪市南部,大阪府大阪市住吉区東粉浜3-30-16,4,,たまごコロッケ、ポテトサラダがじゃがいもの味が優しい,https://tabelog.com/osaka/A2701/A270404/27002854/
ビッグ・ジョー 藤井寺店,洋食・西洋料理,大阪府,藤井寺市,藤井寺市,大阪府藤井寺市野中2-66,0,,美味い,https://tabelog.com/osaka/A2708/A270801/27003508/
グラタンのお店 どつぼどーる,洋食・西洋料理,兵庫県,宝塚市,宝塚市,兵庫県宝塚市逆瀬川1-13-27 トヨタビル 1F,4,,列車でグラタン届く,https://tabelog.com/hyogo/A2803/A280303/28004183/
火鍋三田 薬膳なつめ 北浜本店,鍋（しゃぶしゃぶ・もつ鍋等）,大阪府,大阪市,心斎橋・難波・道頓堀,大阪府大阪市中央区平野町3-1-8 船場ろじの 店舗3,0,,辛くて美味しい,https://tabelog.com/osaka/A2701/A270102/27128487/
タカムラ ワイン＆コーヒーロースターズ,カフェ・スイーツ,大阪府,大阪市,堀江・南船場,大阪府大阪市西区江戸堀2丁目2-18,4,デート,コーヒー豆の個性を引き出すことを最優先,https://takamuranet.com/
